"Time","Press","Flow","OAI","CAI","HI","SI","FL","RERA","CSR","LVT","VT","MV","IE","RR","SPOP2","PR","End"
2025-2-14 19:8:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:9:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:10:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:11:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:12:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:13:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:14:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:15:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:16:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:17:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:18:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:19:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:20:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:21:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:22:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:23:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:24:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:25:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:26:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:27:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:28:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:29:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:30:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:31:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:32:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:33:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:34:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:35:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:36:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:37:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:38:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:39:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:40:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:41:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:42:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:43:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:44:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:45:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:46:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:47:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:48:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:49:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:50:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:51:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:52:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:53:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:54:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:55:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:56:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:57:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:58:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 19:59:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:0:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
